y_test,utente_dichiara,rf_predictions
21,21,"[0.002, 0.002, 0.004, 0.005, 0.011, 0.001, 0.0, 0.019, 0.001, 0.005, 0.003, 0.002, 0.003, 0.005, 0.005, 0.004, 0.007, 0.0, 0.001, 0.002, 0.003, 0.355, 0.019, 0.013, 0.001, 0.092, 0.011, 0.0, 0.009, 0.014, 0.009, 0.002, 0.068, 0.002, 0.033, 0.005, 0.0, 0.013, 0.003, 0.011, 0.008, 0.006, 0.007, 0.002, 0.025, 0.033, 0.022, 0.011, 0.015, 0.058, 0.005, 0.004, 0.004, 0.006, 0.026, 0.007, 0.001, 0.004, 0.0, 0.011]"
44,11,"[0.011, 0.006, 0.0, 0.005, 0.004, 0.011, 0.004, 0.012, 0.009, 0.008, 0.078, 0.002, 0.006, 0.005, 0.002, 0.01, 0.025, 0.008, 0.008, 0.005, 0.004, 0.104, 0.008, 0.005, 0.025, 0.007, 0.014, 0.002, 0.092, 0.017, 0.022, 0.05, 0.012, 0.011, 0.01, 0.026, 0.015, 0.07, 0.022, 0.003, 0.017, 0.006, 0.002, 0.011, 0.159, 0.008, 0.0, 0.0, 0.005, 0.002, 0.001, 0.002, 0.021, 0.004, 0.006, 0.009, 0.002, 0.005, 0.002, 0.0]"
6,47,"[0.031, 0.003, 0.02, 0.027, 0.014, 0.008, 0.306, 0.025, 0.0, 0.0, 0.002, 0.002, 0.007, 0.137, 0.007, 0.128, 0.013, 0.003, 0.009, 0.004, 0.005, 0.001, 0.002, 0.005, 0.001, 0.0, 0.004, 0.0, 0.0, 0.02, 0.017, 0.003, 0.008, 0.02, 0.003, 0.0, 0.026, 0.003, 0.029, 0.011, 0.008, 0.01, 0.001, 0.0, 0.007, 0.03, 0.001, 0.001, 0.002, 0.004, 0.004, 0.001, 0.012, 0.001, 0.005, 0.002, 0.003, 0.0, 0.002, 0.002]"
31,31,"[0.001, 0.003, 0.005, 0.002, 0.001, 0.001, 0.001, 0.0, 0.0, 0.005, 0.004, 0.002, 0.013, 0.007, 0.002, 0.001, 0.067, 0.004, 0.004, 0.022, 0.026, 0.049, 0.045, 0.005, 0.004, 0.002, 0.003, 0.0, 0.011, 0.005, 0.01, 0.206, 0.015, 0.0, 0.061, 0.006, 0.003, 0.003, 0.003, 0.0, 0.003, 0.009, 0.015, 0.152, 0.016, 0.005, 0.007, 0.04, 0.016, 0.004, 0.0, 0.01, 0.018, 0.01, 0.005, 0.043, 0.028, 0.004, 0.001, 0.012]"
29,29,"[0.016, 0.01, 0.028, 0.0, 0.019, 0.0, 0.004, 0.001, 0.0, 0.054, 0.012, 0.003, 0.011, 0.0, 0.013, 0.002, 0.03, 0.004, 0.001, 0.002, 0.033, 0.002, 0.012, 0.019, 0.0, 0.007, 0.006, 0.0, 0.005, 0.519, 0.011, 0.001, 0.002, 0.0, 0.009, 0.0, 0.001, 0.01, 0.002, 0.001, 0.001, 0.0, 0.001, 0.003, 0.011, 0.006, 0.0, 0.0, 0.005, 0.002, 0.003, 0.003, 0.014, 0.075, 0.006, 0.002, 0.018, 0.0, 0.0, 0.0]"
28,28,"[0.001, 0.0, 0.004, 0.004, 0.0, 0.001, 0.0, 0.002, 0.001, 0.009, 0.0, 0.01, 0.001, 0.011, 0.002, 0.002, 0.021, 0.016, 0.004, 0.013, 0.015, 0.075, 0.016, 0.018, 0.062, 0.018, 0.008, 0.001, 0.15, 0.003, 0.007, 0.016, 0.035, 0.001, 0.042, 0.018, 0.001, 0.014, 0.007, 0.007, 0.019, 0.012, 0.014, 0.03, 0.026, 0.003, 0.02, 0.038, 0.018, 0.005, 0.017, 0.012, 0.019, 0.01, 0.067, 0.056, 0.004, 0.002, 0.003, 0.009]"
57,57,"[0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.002, 0.002, 0.0, 0.0, 0.006, 0.0, 0.007, 0.0, 0.001, 0.001, 0.002, 0.004, 0.009, 0.0, 0.075, 0.006, 0.001, 0.017, 0.007, 0.0, 0.01, 0.018, 0.001, 0.007, 0.005, 0.012, 0.0, 0.053, 0.109, 0.008, 0.029, 0.02, 0.056, 0.002, 0.001, 0.027, 0.002, 0.006, 0.004, 0.047, 0.011, 0.002, 0.004, 0.015, 0.039, 0.002, 0.0, 0.0, 0.001, 0.003, 0.271, 0.067, 0.025]"
28,24,"[0.001, 0.021, 0.0, 0.0, 0.007, 0.002, 0.002, 0.002, 0.0, 0.024, 0.0, 0.007, 0.002, 0.005, 0.0, 0.012, 0.017, 0.02, 0.006, 0.07, 0.009, 0.002, 0.009, 0.017, 0.002, 0.0, 0.001, 0.022, 0.04, 0.001, 0.049, 0.046, 0.02, 0.0, 0.006, 0.004, 0.017, 0.003, 0.015, 0.003, 0.002, 0.075, 0.025, 0.045, 0.003, 0.0, 0.0, 0.003, 0.026, 0.006, 0.002, 0.12, 0.009, 0.001, 0.027, 0.009, 0.179, 0.003, 0.001, 0.0]"
53,53,"[0.024, 0.021, 0.049, 0.004, 0.021, 0.004, 0.005, 0.007, 0.004, 0.038, 0.017, 0.001, 0.018, 0.005, 0.009, 0.005, 0.03, 0.012, 0.001, 0.0, 0.023, 0.002, 0.074, 0.009, 0.004, 0.049, 0.013, 0.0, 0.019, 0.027, 0.007, 0.014, 0.01, 0.003, 0.016, 0.004, 0.0, 0.005, 0.0, 0.004, 0.0, 0.002, 0.025, 0.019, 0.005, 0.065, 0.012, 0.002, 0.018, 0.009, 0.0, 0.003, 0.025, 0.193, 0.005, 0.042, 0.008, 0.004, 0.0, 0.005]"
29,29,"[0.021, 0.003, 0.003, 0.0, 0.02, 0.006, 0.008, 0.016, 0.001, 0.005, 0.005, 0.016, 0.001, 0.01, 0.002, 0.005, 0.008, 0.001, 0.0, 0.004, 0.012, 0.009, 0.024, 0.012, 0.004, 0.036, 0.027, 0.002, 0.006, 0.469, 0.013, 0.004, 0.016, 0.0, 0.017, 0.007, 0.011, 0.013, 0.001, 0.026, 0.005, 0.005, 0.005, 0.003, 0.008, 0.008, 0.024, 0.003, 0.018, 0.011, 0.006, 0.012, 0.01, 0.0, 0.006, 0.006, 0.005, 0.001, 0.017, 0.003]"
35,56,"[0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0, 0.001, 0.0, 0.001, 0.004, 0.003, 0.001, 0.003, 0.001, 0.003, 0.001, 0.004, 0.007, 0.005, 0.005, 0.001, 0.003, 0.01, 0.017, 0.0, 0.001, 0.007, 0.002, 0.002, 0.04, 0.02, 0.002, 0.017, 0.427, 0.002, 0.015, 0.006, 0.009, 0.001, 0.0, 0.156, 0.004, 0.012, 0.0, 0.017, 0.04, 0.0, 0.0, 0.005, 0.017, 0.027, 0.002, 0.003, 0.022, 0.001, 0.041, 0.014, 0.011]"
7,7,"[0.007, 0.016, 0.012, 0.01, 0.009, 0.006, 0.004, 0.517, 0.002, 0.002, 0.002, 0.0, 0.021, 0.005, 0.003, 0.004, 0.016, 0.006, 0.011, 0.014, 0.008, 0.0, 0.007, 0.007, 0.002, 0.0, 0.03, 0.0, 0.002, 0.0, 0.011, 0.001, 0.019, 0.066, 0.002, 0.002, 0.004, 0.004, 0.003, 0.0, 0.021, 0.01, 0.0, 0.009, 0.013, 0.01, 0.003, 0.004, 0.05, 0.018, 0.004, 0.0, 0.009, 0.005, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0]"
16,16,"[0.016, 0.011, 0.007, 0.002, 0.009, 0.0, 0.002, 0.006, 0.0, 0.043, 0.016, 0.005, 0.018, 0.021, 0.011, 0.006, 0.377, 0.059, 0.002, 0.003, 0.057, 0.001, 0.014, 0.005, 0.003, 0.002, 0.009, 0.0, 0.03, 0.004, 0.005, 0.014, 0.004, 0.0, 0.005, 0.0, 0.016, 0.001, 0.003, 0.001, 0.001, 0.036, 0.001, 0.044, 0.001, 0.002, 0.006, 0.002, 0.049, 0.018, 0.0, 0.006, 0.003, 0.001, 0.01, 0.009, 0.022, 0.0, 0.0, 0.001]"
16,16,"[0.003, 0.034, 0.006, 0.0, 0.004, 0.001, 0.001, 0.0, 0.001, 0.081, 0.004, 0.005, 0.05, 0.016, 0.0, 0.001, 0.31, 0.021, 0.003, 0.004, 0.043, 0.021, 0.03, 0.019, 0.001, 0.002, 0.012, 0.0, 0.081, 0.002, 0.001, 0.013, 0.005, 0.0, 0.023, 0.003, 0.002, 0.012, 0.002, 0.001, 0.003, 0.004, 0.004, 0.03, 0.025, 0.007, 0.002, 0.003, 0.014, 0.005, 0.0, 0.004, 0.012, 0.017, 0.032, 0.013, 0.006, 0.0, 0.0, 0.001]"
18,18,"[0.003, 0.0, 0.0, 0.002, 0.0, 0.008, 0.006, 0.003, 0.003, 0.0, 0.0, 0.059, 0.0, 0.0, 0.001, 0.001, 0.002, 0.001, 0.494, 0.012, 0.001, 0.004, 0.0, 0.001, 0.002, 0.0, 0.001, 0.023, 0.001, 0.0, 0.027, 0.005, 0.007, 0.011, 0.008, 0.03, 0.004, 0.033, 0.061, 0.043, 0.013, 0.016, 0.002, 0.0, 0.0, 0.0, 0.003, 0.017, 0.001, 0.0, 0.043, 0.021, 0.001, 0.0, 0.0, 0.0, 0.004, 0.01, 0.01, 0.002]"
45,50,"[0.008, 0.001, 0.004, 0.002, 0.053, 0.001, 0.015, 0.004, 0.0, 0.007, 0.009, 0.001, 0.001, 0.038, 0.004, 0.003, 0.046, 0.046, 0.0, 0.002, 0.008, 0.02, 0.043, 0.001, 0.004, 0.01, 0.018, 0.0, 0.012, 0.019, 0.014, 0.001, 0.0, 0.001, 0.007, 0.003, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.002, 0.01, 0.013, 0.383, 0.004, 0.004, 0.026, 0.031, 0.001, 0.001, 0.02, 0.066, 0.007, 0.015, 0.002, 0.0, 0.0, 0.004]"
30,30,"[0.01, 0.002, 0.001, 0.001, 0.007, 0.024, 0.008, 0.009, 0.0, 0.0, 0.0, 0.001, 0.003, 0.0, 0.0, 0.009, 0.005, 0.002, 0.003, 0.019, 0.004, 0.025, 0.023, 0.02, 0.028, 0.032, 0.013, 0.001, 0.007, 0.006, 0.298, 0.007, 0.069, 0.003, 0.102, 0.006, 0.001, 0.004, 0.004, 0.009, 0.011, 0.003, 0.028, 0.004, 0.003, 0.005, 0.035, 0.029, 0.007, 0.002, 0.007, 0.003, 0.043, 0.003, 0.023, 0.015, 0.008, 0.003, 0.001, 0.001]"
7,34,"[0.007, 0.0, 0.004, 0.014, 0.003, 0.019, 0.027, 0.297, 0.001, 0.004, 0.001, 0.002, 0.0, 0.001, 0.011, 0.012, 0.008, 0.001, 0.004, 0.009, 0.002, 0.002, 0.01, 0.124, 0.009, 0.012, 0.028, 0.002, 0.006, 0.064, 0.027, 0.004, 0.02, 0.0, 0.022, 0.004, 0.002, 0.012, 0.003, 0.007, 0.014, 0.001, 0.008, 0.004, 0.012, 0.011, 0.01, 0.002, 0.073, 0.002, 0.01, 0.024, 0.003, 0.008, 0.001, 0.01, 0.004, 0.003, 0.006, 0.009]"
42,11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.008, 0.003, 0.0, 0.032, 0.002, 0.0, 0.001, 0.0, 0.005, 0.002, 0.002, 0.011, 0.001, 0.006, 0.001, 0.003, 0.002, 0.003, 0.001, 0.043, 0.001, 0.001, 0.005, 0.04, 0.003, 0.002, 0.009, 0.172, 0.001, 0.014, 0.009, 0.012, 0.003, 0.0, 0.065, 0.006, 0.023, 0.001, 0.008, 0.013, 0.002, 0.002, 0.018, 0.052, 0.002, 0.0, 0.013, 0.018, 0.022, 0.288, 0.051, 0.016]"
11,11,"[0.158, 0.01, 0.006, 0.004, 0.001, 0.004, 0.007, 0.0, 0.001, 0.0, 0.007, 0.219, 0.024, 0.003, 0.018, 0.003, 0.017, 0.005, 0.009, 0.026, 0.012, 0.0, 0.002, 0.003, 0.019, 0.0, 0.004, 0.001, 0.01, 0.008, 0.045, 0.036, 0.016, 0.005, 0.012, 0.01, 0.014, 0.031, 0.034, 0.051, 0.001, 0.014, 0.014, 0.002, 0.003, 0.0, 0.003, 0.005, 0.003, 0.0, 0.008, 0.071, 0.001, 0.001, 0.001, 0.001, 0.019, 0.002, 0.014, 0.002]"
54,29,"[0.005, 0.006, 0.001, 0.002, 0.0, 0.007, 0.001, 0.001, 0.0, 0.03, 0.0, 0.005, 0.006, 0.0, 0.001, 0.001, 0.022, 0.003, 0.001, 0.005, 0.009, 0.044, 0.008, 0.018, 0.009, 0.007, 0.002, 0.001, 0.003, 0.004, 0.014, 0.015, 0.022, 0.001, 0.025, 0.006, 0.0, 0.006, 0.004, 0.0, 0.001, 0.0, 0.026, 0.025, 0.002, 0.0, 0.004, 0.013, 0.002, 0.0, 0.01, 0.003, 0.069, 0.019, 0.453, 0.011, 0.065, 0.0, 0.001, 0.001]"
58,58,"[0.004, 0.0, 0.0, 0.004, 0.001, 0.0, 0.002, 0.003, 0.002, 0.001, 0.001, 0.002, 0.001, 0.003, 0.0, 0.004, 0.002, 0.002, 0.003, 0.005, 0.002, 0.002, 0.001, 0.0, 0.018, 0.001, 0.0, 0.0, 0.006, 0.001, 0.003, 0.007, 0.007, 0.007, 0.01, 0.058, 0.01, 0.01, 0.002, 0.016, 0.002, 0.001, 0.029, 0.0, 0.003, 0.001, 0.033, 0.013, 0.0, 0.0, 0.006, 0.004, 0.0, 0.0, 0.0, 0.003, 0.0, 0.015, 0.684, 0.005]"
43,43,"[0.003, 0.012, 0.001, 0.001, 0.003, 0.002, 0.0, 0.001, 0.0, 0.031, 0.002, 0.001, 0.003, 0.011, 0.0, 0.002, 0.081, 0.097, 0.0, 0.006, 0.013, 0.007, 0.01, 0.005, 0.003, 0.003, 0.003, 0.0, 0.086, 0.002, 0.003, 0.01, 0.003, 0.0, 0.005, 0.0, 0.004, 0.0, 0.0, 0.001, 0.002, 0.008, 0.0, 0.45, 0.0, 0.003, 0.001, 0.0, 0.045, 0.009, 0.002, 0.002, 0.01, 0.002, 0.014, 0.011, 0.026, 0.0, 0.0, 0.0]"
13,4,"[0.02, 0.03, 0.006, 0.039, 0.022, 0.002, 0.006, 0.001, 0.001, 0.012, 0.016, 0.0, 0.002, 0.229, 0.004, 0.02, 0.033, 0.203, 0.001, 0.008, 0.011, 0.004, 0.018, 0.007, 0.004, 0.0, 0.008, 0.001, 0.086, 0.0, 0.003, 0.005, 0.001, 0.0, 0.013, 0.001, 0.007, 0.0, 0.003, 0.001, 0.001, 0.017, 0.0, 0.033, 0.003, 0.012, 0.008, 0.0, 0.013, 0.044, 0.001, 0.0, 0.006, 0.006, 0.012, 0.006, 0.009, 0.0, 0.001, 0.0]"
42,33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.006, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.02, 0.001, 0.016, 0.003, 0.0, 0.005, 0.027, 0.0, 0.001, 0.006, 0.004, 0.0, 0.013, 0.018, 0.005, 0.024, 0.094, 0.0, 0.008, 0.001, 0.002, 0.001, 0.0, 0.122, 0.001, 0.003, 0.001, 0.123, 0.046, 0.001, 0.003, 0.014, 0.005, 0.007, 0.007, 0.004, 0.016, 0.0, 0.188, 0.09, 0.109]"
40,21,"[0.021, 0.067, 0.024, 0.001, 0.045, 0.014, 0.002, 0.014, 0.006, 0.01, 0.001, 0.0, 0.005, 0.009, 0.003, 0.002, 0.019, 0.005, 0.011, 0.023, 0.088, 0.001, 0.014, 0.028, 0.004, 0.005, 0.01, 0.0, 0.004, 0.014, 0.003, 0.007, 0.006, 0.005, 0.013, 0.001, 0.013, 0.005, 0.002, 0.001, 0.365, 0.014, 0.001, 0.017, 0.0, 0.0, 0.002, 0.001, 0.02, 0.01, 0.004, 0.005, 0.013, 0.0, 0.029, 0.003, 0.009, 0.001, 0.0, 0.0]"
54,54,"[0.022, 0.068, 0.005, 0.005, 0.047, 0.005, 0.005, 0.025, 0.001, 0.0, 0.0, 0.0, 0.002, 0.011, 0.0, 0.007, 0.045, 0.06, 0.012, 0.036, 0.008, 0.001, 0.004, 0.09, 0.006, 0.001, 0.009, 0.0, 0.004, 0.003, 0.013, 0.006, 0.004, 0.004, 0.004, 0.002, 0.011, 0.0, 0.006, 0.004, 0.008, 0.012, 0.004, 0.028, 0.005, 0.002, 0.005, 0.002, 0.028, 0.009, 0.005, 0.003, 0.038, 0.003, 0.252, 0.039, 0.02, 0.001, 0.0, 0.0]"
20,20,"[0.012, 0.017, 0.264, 0.004, 0.038, 0.004, 0.002, 0.008, 0.001, 0.006, 0.011, 0.002, 0.03, 0.02, 0.045, 0.028, 0.01, 0.008, 0.006, 0.007, 0.089, 0.0, 0.04, 0.006, 0.002, 0.001, 0.054, 0.0, 0.01, 0.014, 0.007, 0.007, 0.006, 0.019, 0.016, 0.0, 0.006, 0.0, 0.005, 0.0, 0.044, 0.013, 0.002, 0.011, 0.003, 0.047, 0.001, 0.003, 0.007, 0.032, 0.0, 0.001, 0.011, 0.003, 0.016, 0.0, 0.001, 0.0, 0.0, 0.0]"
45,38,"[0.003, 0.001, 0.024, 0.004, 0.007, 0.0, 0.01, 0.005, 0.001, 0.002, 0.018, 0.0, 0.0, 0.018, 0.04, 0.009, 0.0, 0.013, 0.001, 0.004, 0.003, 0.007, 0.021, 0.0, 0.001, 0.001, 0.021, 0.0, 0.003, 0.005, 0.004, 0.003, 0.0, 0.004, 0.003, 0.014, 0.005, 0.0, 0.002, 0.002, 0.001, 0.002, 0.0, 0.0, 0.009, 0.668, 0.002, 0.002, 0.0, 0.029, 0.0, 0.0, 0.01, 0.002, 0.003, 0.005, 0.001, 0.0, 0.0, 0.007]"
25,25,"[0.001, 0.0, 0.0, 0.0, 0.002, 0.009, 0.0, 0.008, 0.0, 0.002, 0.0, 0.013, 0.003, 0.001, 0.003, 0.0, 0.012, 0.0, 0.0, 0.004, 0.0, 0.075, 0.017, 0.02, 0.014, 0.446, 0.024, 0.006, 0.013, 0.011, 0.007, 0.002, 0.012, 0.006, 0.014, 0.014, 0.0, 0.05, 0.002, 0.002, 0.007, 0.009, 0.009, 0.0, 0.01, 0.004, 0.016, 0.032, 0.039, 0.01, 0.005, 0.018, 0.006, 0.012, 0.005, 0.004, 0.006, 0.007, 0.002, 0.006]"
7,7,"[0.007, 0.013, 0.006, 0.018, 0.005, 0.039, 0.013, 0.383, 0.001, 0.002, 0.001, 0.0, 0.007, 0.005, 0.001, 0.006, 0.014, 0.002, 0.007, 0.014, 0.001, 0.005, 0.011, 0.025, 0.008, 0.002, 0.027, 0.0, 0.004, 0.001, 0.018, 0.003, 0.054, 0.068, 0.005, 0.002, 0.02, 0.005, 0.005, 0.003, 0.097, 0.008, 0.002, 0.004, 0.01, 0.003, 0.019, 0.002, 0.007, 0.021, 0.006, 0.0, 0.002, 0.001, 0.003, 0.0, 0.0, 0.002, 0.002, 0.0]"
14,14,"[0.009, 0.008, 0.007, 0.003, 0.008, 0.0, 0.007, 0.002, 0.0, 0.004, 0.005, 0.005, 0.005, 0.001, 0.664, 0.007, 0.003, 0.008, 0.004, 0.007, 0.003, 0.0, 0.01, 0.004, 0.001, 0.007, 0.016, 0.001, 0.002, 0.037, 0.003, 0.005, 0.004, 0.001, 0.005, 0.003, 0.008, 0.003, 0.008, 0.006, 0.0, 0.006, 0.007, 0.0, 0.005, 0.011, 0.009, 0.004, 0.01, 0.015, 0.002, 0.02, 0.004, 0.009, 0.001, 0.003, 0.006, 0.003, 0.0, 0.001]"
48,48,"[0.002, 0.002, 0.001, 0.0, 0.007, 0.001, 0.0, 0.029, 0.0, 0.037, 0.001, 0.0, 0.013, 0.001, 0.001, 0.001, 0.122, 0.007, 0.0, 0.003, 0.007, 0.006, 0.063, 0.006, 0.002, 0.003, 0.003, 0.0, 0.001, 0.008, 0.02, 0.001, 0.003, 0.001, 0.0, 0.001, 0.0, 0.003, 0.0, 0.001, 0.004, 0.002, 0.001, 0.014, 0.017, 0.008, 0.002, 0.006, 0.535, 0.008, 0.002, 0.005, 0.015, 0.007, 0.0, 0.005, 0.01, 0.0, 0.0, 0.002]"
39,12,"[0.009, 0.001, 0.0, 0.005, 0.001, 0.002, 0.006, 0.002, 0.0, 0.0, 0.004, 0.003, 0.003, 0.005, 0.001, 0.004, 0.004, 0.004, 0.009, 0.035, 0.002, 0.016, 0.0, 0.0, 0.026, 0.005, 0.005, 0.0, 0.026, 0.007, 0.019, 0.054, 0.033, 0.006, 0.052, 0.009, 0.003, 0.015, 0.041, 0.46, 0.005, 0.018, 0.006, 0.009, 0.023, 0.001, 0.003, 0.031, 0.002, 0.0, 0.004, 0.004, 0.006, 0.002, 0.002, 0.003, 0.001, 0.001, 0.002, 0.0]"
10,10,"[0.005, 0.004, 0.277, 0.0, 0.012, 0.0, 0.0, 0.005, 0.0, 0.004, 0.329, 0.002, 0.024, 0.002, 0.028, 0.003, 0.005, 0.007, 0.001, 0.003, 0.011, 0.003, 0.006, 0.004, 0.002, 0.001, 0.06, 0.0, 0.001, 0.017, 0.002, 0.0, 0.003, 0.003, 0.004, 0.0, 0.004, 0.0, 0.0, 0.001, 0.003, 0.004, 0.0, 0.004, 0.019, 0.036, 0.002, 0.005, 0.004, 0.007, 0.001, 0.001, 0.018, 0.052, 0.005, 0.004, 0.0, 0.0, 0.0, 0.002]"
